M,K,N,US_PER_RUN,MFLOPS,GFLOPS,BW_GB_S,RUNS
4096,4096,1,293.74,33.55,114.23,60.74,171
4096,4096,2,459.97,67.11,145.90,38.83,109
4096,4096,4,772.31,134.22,173.79,23.17,65
4096,4096,8,1401.13,268.44,191.58,12.82,64
4096,4096,16,2662.46,536.87,201.64,6.79,65
4096,4096,32,5165.73,1073.74,207.86,3.55,64
4096,4096,64,10189.54,2147.48,210.75,1.85,50
4096,4096,128,20813.90,4294.97,206.35,0.96,32
4096,4096,256,42604.30,8589.93,201.62,0.52,32
4096,4096,512,84782.68,17179.87,202.63,0.31,32
4096,11008,1,917.85,90.18,98.25,52.24,64
4096,11008,2,1712.38,180.36,105.32,28.03,64
4096,11008,4,3169.42,360.71,113.81,15.17,65
4096,11008,8,6054.26,721.42,119.16,7.97,64
4096,11008,16,11840.87,1442.84,121.85,4.11,43
4096,11008,32,23381.77,2885.68,123.42,2.11,32
4096,11008,64,46506.71,5771.36,124.10,1.09,32
4096,11008,128,92721.57,11542.72,124.49,0.58,32
4096,11008,256,185149.75,23085.45,124.69,0.32,32
4096,11008,512,370031.44,46170.90,124.78,0.19,32
4096,14336,1,1205.52,117.44,97.42,51.80,64
4096,14336,2,2432.37,234.88,96.56,25.70,65
4096,14336,4,4473.54,469.76,105.01,14.00,64
4096,14336,8,8581.54,939.52,109.48,7.32,59
4096,14336,16,16784.49,1879.05,111.95,3.77,32
4096,14336,32,33196.78,3758.10,113.21,1.93,32
4096,14336,64,66028.40,7516.19,113.83,1.00,32
4096,14336,128,131675.69,15032.39,114.16,0.53,32
4096,14336,256,262934.65,30064.77,114.34,0.29,32
4096,14336,512,525353.60,60129.54,114.46,0.17,32
8192,8192,1,1480.42,134.22,90.66,48.19,65
8192,8192,2,2726.25,268.44,98.46,26.18,65
8192,8192,4,5131.96,536.87,104.61,13.92,65
8192,8192,8,9917.47,1073.74,108.27,7.22,51
8192,8192,16,19507.12,2147.48,110.09,3.68,32
8192,8192,32,38708.89,4294.97,110.96,1.87,32
8192,8192,64,77066.41,8589.93,111.46,0.95,32
8192,8192,128,153796.33,17179.87,111.71,0.49,32
8192,8192,256,307247.20,34359.74,111.83,0.26,32
8192,8192,512,614184.53,68719.48,111.89,0.14,32
8192,28672,1,5557.08,469.76,84.53,44.93,65
8192,28672,2,10787.16,939.52,87.10,23.16,47
8192,28672,4,21231.79,1879.05,88.50,11.78,32
8192,28672,8,42156.66,3758.10,89.15,5.94,32
8192,28672,16,84023.87,7516.19,89.45,2.99,32
8192,28672,32,167918.39,15032.39,89.52,1.51,32
8192,28672,64,335599.91,30064.77,89.59,0.77,32
8192,28672,128,670781.36,60129.54,89.64,0.39,32
8192,28672,256,1341593.61,120259.08,89.64,0.21,32
8192,28672,512,2682888.06,240518.17,89.65,0.11,32
2048,2048,1,163.56,8.39,51.29,27.30,307
2048,2048,2,215.97,16.78,77.68,20.71,233
2048,2048,4,321.68,33.55,104.31,13.96,157
2048,2048,8,530.45,67.11,126.51,8.52,95
2048,2048,16,947.39,134.22,141.67,4.84,64
2048,2048,32,1787.73,268.44,150.15,2.64,64
2048,2048,64,3456.40,536.87,155.33,1.44,64
2048,2048,128,6792.60,1073.74,158.08,0.81,65
2048,2048,256,13458.26,2147.48,159.57,0.49,38
2048,2048,512,26776.00,4294.97,160.40,0.32,32
2048,5504,1,243.76,22.54,92.49,49.22,206
2048,5504,2,378.75,45.09,119.05,31.74,133
2048,5504,4,649.92,90.18,138.75,18.56,78
2048,5504,8,1189.43,180.36,151.63,10.22,65
2048,5504,16,2278.61,360.71,158.30,5.41,65
2048,5504,32,4430.55,721.42,162.83,2.86,65
2048,5504,64,8726.93,1442.84,165.33,1.53,58
2048,5504,128,17340.39,2885.68,166.41,0.85,32
2048,5504,256,34565.51,5771.36,166.97,0.51,32
2048,5504,512,74031.09,11542.72,155.92,0.31,32
2496,2496,1,206.56,12.46,60.32,32.09,243
2496,2496,2,299.55,24.92,83.19,22.16,168
2496,2496,4,487.47,49.84,102.24,13.66,103
2496,2496,8,862.88,99.68,115.52,7.76,65
2496,2496,16,1612.51,199.36,123.63,4.20,65
2496,2496,32,3102.78,398.72,128.50,2.24,65
2496,2496,64,6073.98,797.44,131.29,1.19,64
2496,2496,128,12026.32,1594.88,132.62,0.66,42
2496,2496,256,23924.37,3189.77,133.33,0.38,32
2496,2496,512,47722.22,6379.54,133.68,0.25,32
3072,3072,1,238.33,18.87,79.19,42.12,211
3072,3072,2,363.00,37.75,103.99,27.69,139
3072,3072,4,595.41,75.50,126.80,16.92,85
3072,3072,8,1049.29,150.99,143.90,9.65,64
3072,3072,16,1986.34,301.99,152.03,5.15,65
3072,3072,32,3825.17,603.98,157.90,2.72,65
3072,3072,64,7506.58,1207.96,160.92,1.44,64
3072,3072,128,14891.52,2415.92,162.23,0.78,34
3072,3072,256,29644.38,4831.84,162.99,0.44,32
3072,3072,512,59149.92,9663.68,163.38,0.28,32
3584,18944,1,1405.27,135.79,96.63,51.39,64
3584,18944,2,2651.43,271.58,102.43,27.26,64
3584,18944,4,4899.96,543.16,110.85,14.78,64
3584,18944,8,9403.27,1086.32,115.53,7.74,54
3584,18944,16,18418.56,2172.65,117.96,3.98,32
3584,18944,32,39124.94,4345.30,111.06,1.91,32
3584,18944,64,86496.93,8690.60,100.47,0.89,32
3584,18944,128,177409.74,17381.20,97.97,0.46,32
3584,18944,256,353737.34,34762.39,98.27,0.26,32
3584,18944,512,705941.25,69524.78,98.49,0.16,32
2048,16384,1,696.36,67.11,96.37,51.29,72
2048,16384,2,1952.30,134.22,68.75,18.33,65
2048,16384,4,3275.57,268.44,81.95,10.96,65
2048,16384,8,5913.73,536.87,90.78,6.12,64
2048,16384,16,11228.14,1073.74,95.63,3.27,45
2048,16384,32,21825.72,2147.48,98.39,1.73,32
2048,16384,64,43196.78,4294.97,99.43,0.92,32
2048,16384,128,85548.31,8589.93,100.41,0.51,32
2048,16384,256,170444.74,17179.87,100.79,0.31,32
2048,16384,512,340128.62,34359.74,101.02,0.20,32
2048,11008,1,352.04,45.09,128.08,68.17,143
2048,11008,2,621.56,90.18,145.08,38.68,81
2048,11008,4,1101.71,180.36,163.70,21.90,65
2048,11008,8,2106.27,360.71,171.26,11.54,64
2048,11008,16,4010.74,721.42,179.87,6.15,64
2048,11008,32,7890.47,1442.84,182.86,3.21,64
2048,11008,64,15649.88,2885.68,184.39,1.71,32
2048,11008,128,30696.10,5771.36,188.02,0.96,32
2048,11008,256,67045.88,11542.72,172.16,0.53,32
2048,11008,512,144505.49,23085.45,159.75,0.32,32
1536,8960,1,299.35,27.53,91.95,48.97,168
1536,8960,2,477.85,55.05,115.20,30.75,105
1536,8960,4,830.64,110.10,132.55,17.78,64
1536,8960,8,1545.63,220.20,142.47,9.65,65
1536,8960,16,2949.60,440.40,149.31,5.15,65
1536,8960,32,5765.62,880.80,152.77,2.74,64
1536,8960,64,11407.76,1761.61,154.42,1.48,44
1536,8960,128,22642.72,3523.22,155.60,0.85,32
1536,8960,256,45161.66,7046.43,156.03,0.53,32
1536,8960,512,90406.87,14092.86,155.88,0.36,32
2560,10240,1,442.24,52.43,118.55,63.07,114
2560,10240,2,791.77,104.86,132.43,35.28,65
2560,10240,4,1440.06,209.72,145.63,19.46,64
2560,10240,8,2687.20,419.43,156.08,10.49,64
2560,10240,16,5180.80,838.86,161.92,5.50,64
2560,10240,32,10171.82,1677.72,164.94,2.87,50
2560,10240,64,20149.63,3355.44,166.53,1.51,32
2560,10240,128,42958.60,6710.89,156.22,0.77,32
2560,10240,256,84128.66,13421.77,159.54,0.46,32
2560,10240,512,168565.73,26843.55,159.25,0.29,32
10240,2560,1,394.41,52.43,132.93,70.64,127
10240,2560,2,645.12,104.86,162.54,43.21,78
10240,2560,4,1137.53,209.72,184.36,24.52,64
10240,2560,8,2134.43,419.43,196.51,13.09,65
10240,2560,16,4126.40,838.86,203.29,6.79,64
10240,2560,32,8102.74,1677.72,207.06,3.48,62
10240,2560,64,16077.67,3355.44,208.70,1.77,32
10240,2560,128,32035.22,6710.89,209.48,0.91,32
10240,2560,256,63921.34,13421.77,209.97,0.48,32
10240,2560,512,127832.31,26843.55,209.99,0.26,32
3840,15360,1,1211.14,117.96,97.40,51.79,64
3840,15360,2,2349.79,235.93,100.40,26.72,64
3840,15360,4,4351.91,471.86,108.43,14.46,64
3840,15360,8,8282.09,943.72,113.95,7.63,61
3840,15360,16,16131.51,1887.44,117.00,3.95,32
3840,15360,32,32250.15,3774.87,117.05,2.00,32
3840,15360,64,69750.27,7549.75,108.24,0.95,32
3840,15360,128,143968.74,15099.49,104.88,0.49,32
3840,15360,256,288778.03,30198.99,104.58,0.27,32
3840,15360,512,592652.99,60397.98,101.91,0.16,32
15360,3840,1,1196.91,117.96,98.56,52.37,65
15360,3840,2,2095.64,235.93,112.58,29.92,64
15360,3840,4,3876.92,471.86,121.71,16.18,65
15360,3840,8,7462.24,943.72,126.47,8.41,64
15360,3840,16,14724.16,1887.44,128.19,4.27,34
15360,3840,32,30103.74,3774.87,125.40,2.10,32
15360,3840,64,62008.80,7549.75,121.75,1.03,32
15360,3840,128,125108.80,15099.49,120.69,0.52,32
15360,3840,256,252003.54,30198.99,119.84,0.26,32
15360,3840,512,508681.56,60397.98,118.73,0.14,32
1152,6144,1,275.62,14.16,51.36,27.37,183
1152,6144,2,428.20,28.31,66.12,17.68,118
1152,6144,4,735.92,56.62,76.94,10.35,69
1152,6144,8,1352.93,113.25,83.70,5.70,64
1152,6144,16,2590.94,226.49,87.42,3.05,65
1152,6144,32,5053.31,452.98,89.64,1.64,65
1152,6144,64,9978.24,905.97,90.79,0.91,51
1152,6144,128,19815.86,1811.94,91.44,0.54,32
1152,6144,256,39500.28,3623.88,91.74,0.35,32
1152,6144,512,79047.56,7247.76,91.69,0.25,32
6144,1152,1,173.64,14.16,81.52,43.34,289
6144,1152,2,233.19,28.31,121.41,32.29,215
6144,1152,4,347.39,56.62,163.00,21.70,144
6144,1152,8,582.68,113.25,194.35,12.97,87
6144,1152,16,1047.27,226.49,216.27,7.25,65
6144,1152,32,1986.12,452.98,228.08,3.86,65
6144,1152,64,3834.81,905.97,236.25,2.04,64
6144,1152,128,7545.24,1811.94,240.14,1.07,64
6144,1152,256,14976.66,3623.88,241.97,0.58,34
6144,1152,512,30124.90,7247.76,240.59,0.33,32
256,1152,1,144.20,0.59,4.09,2.20,362
256,1152,2,163.49,1.18,7.22,1.97,307
256,1152,4,222.19,2.36,10.62,1.49,226
256,1152,8,338.56,4.72,13.94,1.03,149
256,1152,16,568.54,9.44,16.60,0.68,88
256,1152,32,1029.63,18.87,18.33,0.45,64
256,1152,64,1955.58,37.75,19.30,0.31,65
256,1152,128,3796.94,75.50,19.88,0.24,64
256,1152,256,7487.43,150.99,20.17,0.20,65
256,1152,512,14846.78,301.99,20.34,0.18,34
1024,2560,1,173.69,5.24,30.19,16.10,289
1024,2560,2,238.03,10.49,44.05,11.79,211
1024,2560,4,366.50,20.97,57.22,7.71,137
1024,2560,8,625.38,41.94,67.07,4.58,80
1024,2560,16,1140.55,83.89,73.55,2.59,64
1024,2560,32,2178.22,167.77,77.02,1.43,65
1024,2560,64,4245.92,335.54,79.03,0.81,65
1024,2560,128,8359.74,671.09,80.28,0.49,60
1024,2560,256,16587.23,1342.18,80.92,0.33,32
1024,2560,512,33060.73,2684.35,81.19,0.24,32
